"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Prrt1",1.48098792430025e-05,0.861853307870937,0.446,0.356,0.282261488492385,"MOL_1","Prrt1"
"Myo18a",2.03931775670631e-05,0.528731141603888,0.629,0.556,0.388673571250655,"MOL_1","Myo18a"
"Aplp2",2.04886922110713e-05,0.368018253818883,0.903,0.906,0.390493984850807,"MOL_1","Aplp2"
"Ppfibp2",2.57866784584287e-05,0.587594684718843,0.524,0.462,0.491468304739193,"MOL_1","Ppfibp2"
"Prpf39",2.73975513251758e-05,0.707563401552875,0.452,0.372,0.522169930706526,"MOL_1","Prpf39"
"Pik3c2b",2.78938412320266e-05,0.548067077866891,0.722,0.67,0.531628720041195,"MOL_1","Pik3c2b"
"Cttnbp2",2.97810945770359e-05,0.841812108741389,0.589,0.476,0.567597881543726,"MOL_1","Cttnbp2"
"Hspa8",3.00578550395797e-05,0.502329670482038,0.89,0.922,0.57287265919935,"MOL_1","Hspa8"
"Sema6a",3.01477203610173e-05,0.381016908705506,0.643,0.615,0.574585402360628,"MOL_1","Sema6a"
"Ank3",3.01977562314154e-05,0.343508679629625,0.938,0.935,0.575539036014545,"MOL_1","Ank3"
"Mat2a",3.08356733963326e-05,0.711722954557128,0.78,0.737,0.587697099260703,"MOL_1","Mat2a"
"Fam234b",3.09407849632699e-05,0.567248746986013,0.48,0.416,0.589700420614962,"MOL_1","Fam234b"
"Clk4",3.14643206896093e-05,0.443081597504901,0.571,0.55,0.599678488023263,"MOL_1","Clk4"
"Tob1",3.2249975357582e-05,0.522325909719975,0.805,0.807,0.614652280340155,"MOL_1","Tob1"
"Snrnp70",3.31608826987358e-05,0.895747908253698,0.483,0.392,0.632013263355205,"MOL_1","Snrnp70"
"Ablim2",3.6337583786521e-05,0.772970974561879,0.503,0.401,0.692558009387303,"MOL_1","Ablim2"
"Fam193b",3.9065443668108e-05,0.993242087652471,0.409,0.316,0.744548290870469,"MOL_1","Fam193b"
"Cadm1",3.94135875572637e-05,0.53574749009075,0.578,0.525,0.751183565253889,"MOL_1","Cadm1"
"Lrig2",4.5436353579608e-05,0.545803557399879,0.268,0.241,0.865971462873749,"MOL_1","Lrig2"
"Atp9b",4.82719632697443e-05,0.652914725052236,0.273,0.235,0.920015347958057,"MOL_1","Atp9b"
"Hsp90aa1",5.2664697500012e-05,0.374281628853913,0.871,0.912,1,"MOL_1","Hsp90aa1"
"Snx29",5.51219329546596e-05,0.626882363945163,0.544,0.481,1,"MOL_1","Snx29"
"Erbb4",5.535313517591e-05,0.751443023372881,0.306,0.23,1,"MOL_1","Erbb4"
"Arrdc2",6.02523826417491e-05,0.807262136141704,0.325,0.261,1,"MOL_1","Arrdc2"
"Gjc2",6.65156823217311e-05,0.350067878143082,0.846,0.854,1,"MOL_1","Gjc2"
"Efemp1",7.46940684317263e-05,1.12134391261628,0.259,0.195,1,"MOL_1","Efemp1"
"Sulf2",7.81932918479601e-05,0.434537659600209,0.654,0.628,1,"MOL_1","Sulf2"
"Spock1",8.08070995006328e-05,0.687140972193012,0.732,0.651,1,"MOL_1","Spock1"
"Luc7l3",8.41956019603428e-05,0.642013673165768,0.46,0.401,1,"MOL_1","Luc7l3"
"Hid1",8.62059802165436e-05,0.615302705747899,0.692,0.625,1,"MOL_1","Hid1"
"Sfpq",9.05488606474547e-05,0.631494387985415,0.541,0.475,1,"MOL_1","Sfpq"
"Lmf1",9.39755983350941e-05,0.549619438779362,0.331,0.293,1,"MOL_1","Lmf1"
"Rrbp1",9.7121737828616e-05,0.37739230034375,0.473,0.448,1,"MOL_1","Rrbp1"
"Gigyf1",9.98119146231504e-05,0.833103876126653,0.331,0.261,1,"MOL_1","Gigyf1"
"Xpo6",0.000115139383992654,0.768613192173857,0.565,0.483,1,"MOL_1","Xpo6"
"Zdhhc14",0.000119004331489757,0.583710914442531,0.61,0.551,1,"MOL_1","Zdhhc14"
"Map7",0.000121010974324279,0.372295161208813,0.827,0.816,1,"MOL_1","Map7"
"Ccp110",0.000122170737484575,0.437432947086233,0.929,0.901,1,"MOL_1","Ccp110"
"Zfp445",0.000137429797148081,0.750764012212052,0.449,0.381,1,"MOL_1","Zfp445"
"Srsf6",0.000141574036789731,0.65788614516493,0.575,0.503,1,"MOL_1","Srsf6"
"Per1",0.000143686031915152,1.00212662678776,0.422,0.301,1,"MOL_1","Per1"
"Zfp280d",0.000149263925759861,0.507501544462756,0.338,0.316,1,"MOL_1","Zfp280d"
"Slc8a1",0.000156998082004288,0.550194510572373,0.593,0.542,1,"MOL_1","Slc8a1"
